JOB_ID,PLATFORM,DEPARTURE_DATE,DEPARTURE_AIRPORT,DESTINATION_AIRPORT,MARKETING_AIRLINE,FLIGHT_CODE,CABIN_CLASS,DEPARTURE_TIME,ARRIVAL_TIME,TRANSIT,TRANSIT_INFO,FLIGHT_DURATION,RATES
70,BOOKING.COM,2023-08-09,CGK,BHX,LH,"LH9795, LH791, LH2512","FIRST CLASS, BUSINESS",19:00:00,22:55:00,2,"CGK, SIN, MUC, BHX",33H 55M,114527927.93
70,BOOKING.COM,2023-08-09,CGK,BHX,"GA, LX","GA834, LX177, LX424","FIRST CLASS, BUSINESS",13:40:00,18:10:00,2,"CGK, SIN, ZRH, BHX",34H 30M,114788288.29
70,BOOKING.COM,2023-08-09,CGK,BHX,"GA, LX","GA834, LX177, LX424","FIRST CLASS, BUSINESS",15:30:00,13:10:00,2,"CGK, SIN, ZRH, BHX",27H 40M,139981981.98
70,BOOKING.COM,2023-08-09,CGK,BHX,"TR, LX","TR277, LX177, LX424","ECONOMY, FIRST CLASS, BUSINESS",11:50:00,18:10:00,2,"CGK, SIN, CDG, BHX",36H 20M,114436036.04
70,BOOKING.COM,2023-08-09,CGK,BHX,"GA, LX","GA832, LX177, LX424","FIRST CLASS, BUSINESS",11:45:00,18:10:00,2,"CGK, SIN, ZRH, BHX",36H 25M,114788288.29
70,BOOKING.COM,2023-08-09,CGK,BHX,"AF, GA","GA832, AF257, AF1164","FIRST CLASS, BUSINESS",11:45:00,09:50:00,2,"CGK, SIN, CDG, BHX",28H 05M,140518018.02
70,BOOKING.COM,2023-08-09,CGK,BHX,"LH, LX","LH9795, LX177, LX424","FIRST CLASS, BUSINESS",19:00:00,18:10:00,2,"CGK, SIN, ZRH, BHX",29H 10M,140410810.81
70,BOOKING.COM,2023-08-09,CGK,BHX,"LH, LX","LH9795, LX177, LX424","FIRST CLASS, BUSINESS",09:40:00,18:10:00,2,"CGK, SIN, ZRH, BHX",38H 30M,114160360.36
70,BOOKING.COM,2023-08-09,CGK,BHX,"GA, LX","GA828, LX177, LX424","FIRST CLASS, BUSINESS",08:35:00,18:10:00,2,"CGK, SIN, ZRH, BHX",39H 35M,114788288.29
70,BOOKING.COM,2023-08-09,CGK,BHX,LH,"LH9795, LH9765, LH952","FIRST CLASS, BUSINESS",19:00:00,08:35:00,2,"CGK, SIN, FRA, BHX",43H 35M,115048648.65
70,BOOKING.COM,2023-08-09,CGK,BHX,LH,"LH9795, LH9765, LH954","FIRST CLASS, BUSINESS",19:00:00,12:20:00,2,"CGK, SIN, FRA, BHX",47H 20M,115048648.65
70,BOOKING.COM,2023-08-09,CGK,BHX,AF,"AF3926, AF257, AF1564","FIRST CLASS, BUSINESS",15:30:00,22:00:00,2,"CGK, SIN, CDG, BHX",36H 30M,140012612.61
70,BOOKING.COM,2023-08-09,CGK,BHX,"SQ, LX","SQ965, LX177, LX424","ECONOMY, FIRST CLASS, BUSINESS",19:00:00,18:10:00,2,"CGK, SIN, FRA, BHX",29H 10M,172281981.98
70,BOOKING.COM,2023-08-09,CGK,BHX,"SQ, LX","GA894, LH7325, LH958","ECONOMY, FIRST CLASS, BUSINESS",23:55:00,22:25:00,2,"CGK, SIN, ZRH, BHX",28H 30M,188700000.0
70,BOOKING.COM,2023-08-09,CGK,BHX,"MU, LH","MU5070, LH7325, LH958","FIRST CLASS, BUSINESS",23:30:00,22:25:00,2,"CGK, PVG, FRA, BHX",28H 55M,192865765.77
