JOB_ID,PLATFORM,DATE,DEPARTURE_AIRPORT,DESTINATION_AIRPORT,FLIGHT_MARKETING,FLIGHT_CODE,CABIN_CLASS,DEPARTURE_TIME,ARRIVAL_TIME,TRANSIT,TRANSIT_INFO,FLIGHT_DURATION,RATES
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","QZ264, MH620, EK347, EK203",ECONOMY,11:10:00,08:50:00,3,"CGK, SIN, KUL, DXB, JFK",32H 40M,21649924.36
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","MH710, MH164, MH9065",ECONOMY,11:10:00,15:20:00,2,"CGK, KUL, DOH, JFK",39H 10M,20924659.61
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","MH5894, MH160, MH9065",ECONOMY,13:40:00,15:20:00,2,"CGK, KUL, DOH, JFK",36H 40M,22035703.48
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","EK359, EK203",ECONOMY,00:40:00,08:50:00,1,"CGK, DXB, JFK",43H 10M,21634493.19
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","TR277, MH620, EK347, EK203",ECONOMY,11:50:00,08:50:00,3,"CGK, SIN, KUL, DXB, JFK",32H 00M,22267170.95
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","MH710, EK347, EK205",ECONOMY,11:10:00,18:55:00,2,"CGK, KUL, DXB, JFK",42H 45M,19875340.39
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","TR277, MH620, EK347, EK203",ECONOMY,16:05:00,22:30:00,2,"CGK, SIN, KUL, DXB, JFK",41H 25M,20600605.14
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","MH710, EK343, EK205",ECONOMY,11:10:00,18:55:00,2,"CGK, KUL, DXB, JFK",42H 45M,20183963.69
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","EY7100, EY473, EY103",ECONOMY,14:40:00,09:30:00,2,"CGK, SIN, AUH, JFK",29H 50M,26557034.8
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","6E1602, 6E17, 6E4234",ECONOMY,17:05:00,17:50:00,2,"CGK, BOM, IST, JFK",35H 45M,23285627.84
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","OZ762, OZ222",ECONOMY,21:50:00,11:05:00,1,"CGK, ICN, JFK",24H 15M,34828139.18
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","MH726, EK345, EK201",ECONOMY,04:15:00,14:25:00,2,"CGK, KUL, DXB, JFK",45H 10M,19875340.39
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","MH726, EK347, EK201",ECONOMY,04:15:00,14:25:00,2,"CGK, KUL, DXB, JFK",45H 10M,19875340.39
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","MH726, EK347, EK201",ECONOMY,08:25:00,08:50:00,3,"CGK, KUL, DXB, JFK",35H 25M,21649924.36
1,BOOKING.COM,2023-08-09,CGK,JFK,"PT Indonesia Airasia, Malaysia Airlines, Emirates Airline","QZ266, MH606, EK347, EK203",ECONOMY,08:25:00,08:50:00,3,"CGK, SIN, KUL, DXB, JFK",35H 25M,21649924.36
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"TK57, TK11",ECONOMY,21:00:00,22:50:00,1,"CGK, IST, JFK",36H 50M,25739183.06
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"AA8152, AA8115",ECONOMY,18:45:00,15:20:00,1,"CGK, DOH, JFK",31H 35M,28920423.6
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"MH722, EK343, EK203",ECONOMY,18:25:00,08:50:00,2,"CGK, KUL, DXB, JFK",49H 25M,18810590.02
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"AA8152, AA8115",ECONOMY,04:15:00,14:25:00,2,"CGK, DOH, JFK",45H 10M,20183963.69
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"MH5894, MH164, MH9065",ECONOMY,13:40:00,15:20:00,2,"CGK, KUL, DOH, JFK",36H 40M,23609682.3
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"AA8151, AA8131",ECONOMY,01:10:00,22:30:00,1,"CGK, DOH, JFK",32H 20M,28920423.6
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"MH722, EK345, EK203",ECONOMY,18:25:00,08:50:00,2,"CGK, KUL, DXB, JFK",49H 25M,19119213.31
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"MH722, EK347, EK203",ECONOMY,18:25:00,08:50:00,2,"CGK, KUL, DXB, JFK",49H 25M,19119213.31
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"EY475, EY103",BUSINESS,17:05:00,09:30:00,1,"CGK, AUH, JFK",27H 25M,33022692.89
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"QR955, QR705",ECONOMY,01:10:00,22:30:00,1,"CGK, DOH, JFK",32H 20M,29242057.49
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"QR955, QR705",ECONOMY,01:10:00,18:55:00,2,"CGK, DOH, JFK",28H 45M,29026021.18
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"MH720, EK343, EK203",ECONOMY,16:05:00,08:50:00,2,"CGK, KUL, DXB, JFK",51H 45M,18810590.02
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"EY8133, EY473, EY103",ECONOMY,11:45:00,09:30:00,2,"CGK, SIN, AUH, JFK",32H 45M,26557034.8
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"HY542, HY271, HY7291",ECONOMY,21:00:00,22:30:00,2,"CGK, TAS, IST, JFK",36H 30M,24937518.91
1,BOOKING.COM,2023-08-09,CGK,JFK,Turkish Airlines,"MH710, MH164, MH9327",ECONOMY,11:10:00,22:30:00,2,"CGK, KUL, DOH, JFK",46H 20M,20924659.61
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","MH726, EK347, EK205",ECONOMY,04:15:00,18:55:00,2,"CGK, KUL, DXB, JFK",49H 40M,19875340.39
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","KL838, KL641",ECONOMY,20:10:00,15:25:00,1,"CGK, AMS, JFK",30H 15M,31927080.18
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","AF8500, AF6698",ECONOMY,20:10:00,15:25:00,1,"CGK, AMS, JFK",30H 15M,31927080.18
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","MH726, EK345, EK205",ECONOMY,04:15:00,18:55:00,2,"CGK, KUL, DXB, JFK",49H 40M,19952496.22
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","MH726, EK345, EK205",ECONOMY,04:15:00,18:55:00,2,"CGK, KUL, DXB, JFK",49H 40M,20183963.69
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","QR957, QR9001",BUSINESS,18:45:00,08:50:00,1,"CGK, DOH, JFK",25H 05M,37327987.9
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","MH722, MH2, MH9393",ECONOMY,18:25:00,13:24:00,2,"CGK, KUL, LHR, JFK",29H 59M,29782148.26
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","MH722, MH2, MH9393",ECONOMY,01:10:00,21:37:00,2,"CGK, KUL, LHR, JFK",31H 27M,29026021.18
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","EY8132, EY473, EY103",ECONOMY,08:35:00,09:30:00,2,"CGK, SIN, AUH, JFK",35H 55M,26557034.8
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","MH710, EK343, EK203",ECONOMY,11:10:00,08:50:00,2,"CGK, KUL, DXB, JFK",56H 40M,19119213.31
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","AA8151, AA8136, AA1357",ECONOMY,01:10:00,23:17:00,2,"CGK, DOH, MIA, JFK",33H 07M,29026021.18
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","6E1602, 6E4103, 6E4234",ECONOMY,17:05:00,17:50:00,2,"CGK, BOM, IST, JFK",35H 45M,27421180.03
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","MH5894, MH164, MH9327",ECONOMY,13:40:00,22:30:00,2,"CGK, KUL, DOH, JFK",43H 50M,23609682.3
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","MH720, MH2, MH9393",ECONOMY,16:05:00,13:24:00,2,"CGK, KUL, LHR, JFK",32H 19M,29782148.26
1,BOOKING.COM,2023-08-09,CGK,JFK,"Malaysia Airlines, Emirates Airline","AA8152, AA8131",ECONOMY,18:45:00,22:30:00,1,"CGK, DOH, JFK",38H 45M,28979727.69
1,BOOKING.COM,2023-08-09,CGK,JFK,KLM,"KL838, KL643",ECONOMY,20:10:00,19:15:00,1,"CGK, AMS, JFK",34H 05M,31927080.18
1,BOOKING.COM,2023-08-09,CGK,JFK,KLM,"AF8500, AF6699",ECONOMY,20:10:00,19:15:00,1,"CGK, AMS, JFK",34H 05M,31927080.18
1,BOOKING.COM,2023-08-09,CGK,JFK,KLM,"AF8500, AF6699",ECONOMY,21:55:00,07:59:00,3,"CGK, AMS, JFK",45H 04M,21202420.57
1,BOOKING.COM,2023-08-09,CGK,JFK,KLM,"MH722, EK345, EK201",ECONOMY,18:25:00,14:25:00,2,"CGK, KUL, DXB, JFK",55H 00M,20183963.69
1,BOOKING.COM,2023-08-09,CGK,JFK,KLM,"AA8151, AA8136, AA2973",ECONOMY,01:10:00,00:11:00,2,"CGK, DOH, MIA, JFK",34H 01M,29026021.18
1,BOOKING.COM,2023-08-09,CGK,JFK,KLM,"QR955, QR701",ECONOMY,01:10:00,15:20:00,1,"CGK, DOH, JFK",25H 10M,41077760.97
1,BOOKING.COM,2023-08-09,CGK,JFK,KLM,"AA8152, AA8133, AA4296",ECONOMY,18:45:00,18:55:00,2,"CGK, DOH, BOS, JFK",35H 10M,29026021.18
